items,support,ordered_statistics
"frozenset({'20675', '20674'})",0.004867057232987832,"[OrderedStatistic(items_base=frozenset({'20674'}), items_add=frozenset({'20675'}), confidence=0.72, lift=71.008)]"
"frozenset({'20676', '20674'})",0.00473186119873817,"[OrderedStatistic(items_base=frozenset({'20674'}), items_add=frozenset({'20676'}), confidence=0.7000000000000001, lift=51.6046511627907)]"
"frozenset({'21094', '21080'})",0.010319963947724201,"[OrderedStatistic(items_base=frozenset({'21094'}), items_add=frozenset({'21080'}), confidence=0.7046153846153846, lift=21.301655837350662)]"
"frozenset({'21090', '21084'})",0.003965750337990085,"[OrderedStatistic(items_base=frozenset({'21084'}), items_add=frozenset({'21090'}), confidence=0.846153846153846, lift=157.78280542986423), OrderedStatistic(items_base=frozenset({'21090'}), items_add=frozenset({'21084'}), confidence=0.7394957983193277, lift=157.78280542986423)]"
"frozenset({'21086', '21094'})",0.010635421360973412,"[OrderedStatistic(items_base=frozenset({'21086'}), items_add=frozenset({'21094'}), confidence=0.8280701754385965, lift=56.53808367071525), OrderedStatistic(items_base=frozenset({'21094'}), items_add=frozenset({'21086'}), confidence=0.7261538461538461, lift=56.53808367071525)]"
"frozenset({'21122', '21124'})",0.008337088778729157,"[OrderedStatistic(items_base=frozenset({'21124'}), items_add=frozenset({'21122'}), confidence=0.8043478260869564, lift=58.138365670584896)]"
"frozenset({'84879', '21136'})",0.011536728255971159,"[OrderedStatistic(items_base=frozenset({'21136'}), items_add=frozenset({'84879'}), confidence=0.7231638418079096, lift=11.586285667666075)]"
"frozenset({'21159', '21158'})",0.0036502929247408744,"[OrderedStatistic(items_base=frozenset({'21159'}), items_add=frozenset({'21158'}), confidence=0.75, lift=113.21428571428571)]"
"frozenset({'21899', '21900'})",0.007480847228481298,"[OrderedStatistic(items_base=frozenset({'21899'}), items_add=frozenset({'21900'}), confidence=0.7477477477477478, lift=62.14427911057125)]"
"frozenset({'21901', '21900'})",0.007480847228481298,"[OrderedStatistic(items_base=frozenset({'21901'}), items_add=frozenset({'21900'}), confidence=0.7063829787234042, lift=58.70651047892262)]"
"frozenset({'21902', '21900'})",0.005137449301487156,"[OrderedStatistic(items_base=frozenset({'21902'}), items_add=frozenset({'21900'}), confidence=0.7037037037037036, lift=58.48383964488833)]"
"frozenset({'21902', '21901'})",0.005452906714736368,"[OrderedStatistic(items_base=frozenset({'21902'}), items_add=frozenset({'21901'}), confidence=0.7469135802469136, lift=70.52771210927239)]"
"frozenset({'21988', '21987'})",0.005182514646237044,"[OrderedStatistic(items_base=frozenset({'21987'}), items_add=frozenset({'21988'}), confidence=0.7718120805369127, lift=116.50687120485777), OrderedStatistic(items_base=frozenset({'21988'}), items_add=frozenset({'21987'}), confidence=0.782312925170068, lift=116.50687120485777)]"
"frozenset({'21988', '21989'})",0.004821991888237945,"[OrderedStatistic(items_base=frozenset({'21988'}), items_add=frozenset({'21989'}), confidence=0.7278911564625851, lift=78.7897793263647)]"
"frozenset({'22617', '22138'})",0.014060387561964848,"[OrderedStatistic(items_base=frozenset({'22617'}), items_add=frozenset({'22138'}), confidence=0.7107061503416856, lift=17.900759904746884)]"
"frozenset({'22175', '22176'})",0.003334835511491663,"[OrderedStatistic(items_base=frozenset({'22176'}), items_add=frozenset({'22175'}), confidence=0.74, lift=116.45815602836879)]"
"frozenset({'22208', '22209'})",0.004010815682739973,"[OrderedStatistic(items_base=frozenset({'22209'}), items_add=frozenset({'22208'}), confidence=0.7295081967213115, lift=80.53625316042738)]"
"frozenset({'22300', '22301'})",0.0056782334384858045,"[OrderedStatistic(items_base=frozenset({'22300'}), items_add=frozenset({'22301'}), confidence=0.8513513513513514, lift=98.3931587837838)]"
"frozenset({'22303', '22302'})",0.006579540333483552,"[OrderedStatistic(items_base=frozenset({'22302'}), items_add=frozenset({'22303'}), confidence=0.7564766839378239, lift=70.2352201530557)]"
"frozenset({'22520', '22522'})",0.0035601622352410996,"[OrderedStatistic(items_base=frozenset({'22520'}), items_add=frozenset({'22522'}), confidence=0.7523809523809524, lift=137.97796143250687)]"
"frozenset({'22523', '22522'})",0.004146011716989635,"[OrderedStatistic(items_base=frozenset({'22522'}), items_add=frozenset({'22523'}), confidence=0.7603305785123967, lift=141.7792902284881), OrderedStatistic(items_base=frozenset({'22523'}), items_add=frozenset({'22522'}), confidence=0.773109243697479, lift=141.7792902284881)]"
"frozenset({'22562', '22563'})",0.00694006309148265,"[OrderedStatistic(items_base=frozenset({'22562'}), items_add=frozenset({'22563'}), confidence=0.8105263157894738, lift=71.08924485125858)]"
"frozenset({'22577', '22578'})",0.014420910319963948,"[OrderedStatistic(items_base=frozenset({'22578'}), items_add=frozenset({'22577'}), confidence=0.7339449541284404, lift=35.02416888625826)]"
"frozenset({'22577', '22579'})",0.009058134294727354,"[OrderedStatistic(items_base=frozenset({'22579'}), items_add=frozenset({'22577'}), confidence=0.7256317689530686, lift=34.627460114126)]"
"frozenset({'22578', '22579'})",0.010229833258224425,"[OrderedStatistic(items_base=frozenset({'22579'}), items_add=frozenset({'22578'}), confidence=0.8194945848375451, lift=41.70776338886497)]"
"frozenset({'22593', '22594'})",0.004010815682739973,"[OrderedStatistic(items_base=frozenset({'22594'}), items_add=frozenset({'22593'}), confidence=0.7063492063492064, lift=112.76179056754597)]"
"frozenset({'22676', '22677'})",0.0037854889589905363,"[OrderedStatistic(items_base=frozenset({'22677'}), items_add=frozenset({'22676'}), confidence=0.7304347826086957, lift=115.77391304347826)]"
"frozenset({'22676', '22680'})",0.0033799008562415502,"[OrderedStatistic(items_base=frozenset({'22680'}), items_add=frozenset({'22676'}), confidence=0.7352941176470588, lift=116.54411764705881)]"
"frozenset({'22698', '22697'})",0.021225777377196935,"[OrderedStatistic(items_base=frozenset({'22698'}), items_add=frozenset({'22697'}), confidence=0.7969543147208121, lift=24.12607945928352)]"
"frozenset({'22699', '22697'})",0.025101397025687245,"[OrderedStatistic(items_base=frozenset({'22697'}), items_add=frozenset({'22699'}), confidence=0.7598908594815825, lift=20.16983034915827)]"
"frozenset({'22698', '22699'})",0.020324470482199188,"[OrderedStatistic(items_base=frozenset({'22698'}), items_add=frozenset({'22699'}), confidence=0.7631133671742808, lift=20.255365571288625)]"
"frozenset({'22745', '22746'})",0.009328526363226678,"[OrderedStatistic(items_base=frozenset({'22746'}), items_add=frozenset({'22745'}), confidence=0.8149606299212598, lift=56.68958112210895)]"
"frozenset({'22745', '22747'})",0.006489409643983777,"[OrderedStatistic(items_base=frozenset({'22747'}), items_add=frozenset({'22745'}), confidence=0.8520710059171598, lift=59.271020756431895)]"
"frozenset({'22745', '22748'})",0.01149166291122127,"[OrderedStatistic(items_base=frozenset({'22745'}), items_add=frozenset({'22748'}), confidence=0.799373040752351, lift=50.825466401990454), OrderedStatistic(items_base=frozenset({'22748'}), items_add=frozenset({'22745'}), confidence=0.7306590257879655, lift=50.82546640199045)]"
"frozenset({'22747', '22746'})",0.006354213609734115,"[OrderedStatistic(items_base=frozenset({'22747'}), items_add=frozenset({'22746'}), confidence=0.834319526627219, lift=72.88799329077949)]"
"frozenset({'22748', '22746'})",0.009734114465975665,"[OrderedStatistic(items_base=frozenset({'22746'}), items_add=frozenset({'22748'}), confidence=0.8503937007874016, lift=54.06944475780069)]"
"frozenset({'22747', '22748'})",0.0068048670572329875,"[OrderedStatistic(items_base=frozenset({'22747'}), items_add=frozenset({'22748'}), confidence=0.893491124260355, lift=56.80965056543632)]"
"frozenset({'85123A', '22804'})",0.013744930148715638,"[OrderedStatistic(items_base=frozenset({'22804'}), items_add=frozenset({'85123A'}), confidence=0.7314148681055156, lift=8.034700952109601)]"
"frozenset({'22914', '22913'})",0.0034249662009914377,"[OrderedStatistic(items_base=frozenset({'22913'}), items_add=frozenset({'22914'}), confidence=0.7835051546391752, lift=125.98535783654565)]"
"frozenset({'22917', '22916'})",0.00797656602073006,"[OrderedStatistic(items_base=frozenset({'22916'}), items_add=frozenset({'22917'}), confidence=0.946524064171123, lift=109.96528263851948), OrderedStatistic(items_base=frozenset({'22917'}), items_add=frozenset({'22916'}), confidence=0.9267015706806284, lift=109.96528263851948)]"
"frozenset({'22918', '22916'})",0.0077512392969806216,"[OrderedStatistic(items_base=frozenset({'22916'}), items_add=frozenset({'22918'}), confidence=0.9197860962566844, lift=108.5641142337012), OrderedStatistic(items_base=frozenset({'22918'}), items_add=frozenset({'22916'}), confidence=0.9148936170212765, lift=108.56411423370119)]"
"frozenset({'22919', '22916'})",0.00761604326273096,"[OrderedStatistic(items_base=frozenset({'22916'}), items_add=frozenset({'22919'}), confidence=0.9037433155080212, lift=104.44825089126559), OrderedStatistic(items_base=frozenset({'22919'}), items_add=frozenset({'22916'}), confidence=0.8802083333333334, lift=104.44825089126559)]"
"frozenset({'22920', '22916'})",0.0076611086074808476,"[OrderedStatistic(items_base=frozenset({'22916'}), items_add=frozenset({'22920'}), confidence=0.9090909090909091, lift=106.17224880382776), OrderedStatistic(items_base=frozenset({'22920'}), items_add=frozenset({'22916'}), confidence=0.8947368421052632, lift=106.17224880382774)]"
