items,support,ordered_statistics
"frozenset({'21094', '21080'})",0.010319964,"[OrderedStatistic(items_base=frozenset({'21094'}), items_add=frozenset({'21080'}), confidence=0.7046153846153846, lift=21.301655837350662)]"
"frozenset({'21086', '21094'})",0.010635421,"[OrderedStatistic(items_base=frozenset({'21086'}), items_add=frozenset({'21094'}), confidence=0.8280701754385965, lift=56.53808367071525), OrderedStatistic(items_base=frozenset({'21094'}), items_add=frozenset({'21086'}), confidence=0.7261538461538461, lift=56.53808367071525)]"
"frozenset({'21122', '21124'})",0.008337089,"[OrderedStatistic(items_base=frozenset({'21124'}), items_add=frozenset({'21122'}), confidence=0.8043478260869564, lift=58.138365670584896)]"
"frozenset({'84879', '21136'})",0.011536728,"[OrderedStatistic(items_base=frozenset({'21136'}), items_add=frozenset({'84879'}), confidence=0.7231638418079096, lift=11.586285667666075)]"
"frozenset({'21899', '21900'})",0.007480847,"[OrderedStatistic(items_base=frozenset({'21899'}), items_add=frozenset({'21900'}), confidence=0.7477477477477478, lift=62.14427911057125)]"
"frozenset({'21901', '21900'})",0.007480847,"[OrderedStatistic(items_base=frozenset({'21901'}), items_add=frozenset({'21900'}), confidence=0.7063829787234042, lift=58.70651047892262)]"
"frozenset({'21902', '21900'})",0.005137449,"[OrderedStatistic(items_base=frozenset({'21902'}), items_add=frozenset({'21900'}), confidence=0.7037037037037036, lift=58.48383964488833)]"
"frozenset({'21902', '21901'})",0.005452907,"[OrderedStatistic(items_base=frozenset({'21902'}), items_add=frozenset({'21901'}), confidence=0.7469135802469136, lift=70.52771210927239)]"
"frozenset({'21988', '21987'})",0.005182515,"[OrderedStatistic(items_base=frozenset({'21987'}), items_add=frozenset({'21988'}), confidence=0.7718120805369127, lift=116.50687120485777), OrderedStatistic(items_base=frozenset({'21988'}), items_add=frozenset({'21987'}), confidence=0.782312925170068, lift=116.50687120485777)]"
"frozenset({'22617', '22138'})",0.014060388,"[OrderedStatistic(items_base=frozenset({'22617'}), items_add=frozenset({'22138'}), confidence=0.7107061503416856, lift=17.900759904746884)]"
"frozenset({'22300', '22301'})",0.005678233,"[OrderedStatistic(items_base=frozenset({'22300'}), items_add=frozenset({'22301'}), confidence=0.8513513513513514, lift=98.3931587837838)]"
"frozenset({'22303', '22302'})",0.00657954,"[OrderedStatistic(items_base=frozenset({'22302'}), items_add=frozenset({'22303'}), confidence=0.7564766839378239, lift=70.2352201530557)]"
"frozenset({'22562', '22563'})",0.006940063,"[OrderedStatistic(items_base=frozenset({'22562'}), items_add=frozenset({'22563'}), confidence=0.8105263157894738, lift=71.08924485125858)]"
"frozenset({'22577', '22578'})",0.01442091,"[OrderedStatistic(items_base=frozenset({'22578'}), items_add=frozenset({'22577'}), confidence=0.7339449541284404, lift=35.02416888625826)]"
"frozenset({'22577', '22579'})",0.009058134,"[OrderedStatistic(items_base=frozenset({'22579'}), items_add=frozenset({'22577'}), confidence=0.7256317689530686, lift=34.627460114126)]"
"frozenset({'22578', '22579'})",0.010229833,"[OrderedStatistic(items_base=frozenset({'22579'}), items_add=frozenset({'22578'}), confidence=0.8194945848375451, lift=41.70776338886497)]"
"frozenset({'22698', '22697'})",0.021225777,"[OrderedStatistic(items_base=frozenset({'22698'}), items_add=frozenset({'22697'}), confidence=0.7969543147208121, lift=24.12607945928352)]"
"frozenset({'22699', '22697'})",0.025101397,"[OrderedStatistic(items_base=frozenset({'22697'}), items_add=frozenset({'22699'}), confidence=0.7598908594815825, lift=20.16983034915827)]"
"frozenset({'22698', '22699'})",0.02032447,"[OrderedStatistic(items_base=frozenset({'22698'}), items_add=frozenset({'22699'}), confidence=0.7631133671742808, lift=20.255365571288625)]"
"frozenset({'22745', '22746'})",0.009328526,"[OrderedStatistic(items_base=frozenset({'22746'}), items_add=frozenset({'22745'}), confidence=0.8149606299212598, lift=56.68958112210895)]"
"frozenset({'22745', '22747'})",0.00648941,"[OrderedStatistic(items_base=frozenset({'22747'}), items_add=frozenset({'22745'}), confidence=0.8520710059171598, lift=59.271020756431895)]"
"frozenset({'22745', '22748'})",0.011491663,"[OrderedStatistic(items_base=frozenset({'22745'}), items_add=frozenset({'22748'}), confidence=0.799373040752351, lift=50.825466401990454), OrderedStatistic(items_base=frozenset({'22748'}), items_add=frozenset({'22745'}), confidence=0.7306590257879655, lift=50.82546640199045)]"
"frozenset({'22747', '22746'})",0.006354214,"[OrderedStatistic(items_base=frozenset({'22747'}), items_add=frozenset({'22746'}), confidence=0.834319526627219, lift=72.88799329077949)]"
"frozenset({'22748', '22746'})",0.009734114,"[OrderedStatistic(items_base=frozenset({'22746'}), items_add=frozenset({'22748'}), confidence=0.8503937007874016, lift=54.06944475780069)]"
"frozenset({'22747', '22748'})",0.006804867,"[OrderedStatistic(items_base=frozenset({'22747'}), items_add=frozenset({'22748'}), confidence=0.893491124260355, lift=56.80965056543632)]"
"frozenset({'85123A', '22804'})",0.01374493,"[OrderedStatistic(items_base=frozenset({'22804'}), items_add=frozenset({'85123A'}), confidence=0.7314148681055156, lift=8.034700952109601)]"
"frozenset({'22917', '22916'})",0.007976566,"[OrderedStatistic(items_base=frozenset({'22916'}), items_add=frozenset({'22917'}), confidence=0.946524064171123, lift=109.96528263851948), OrderedStatistic(items_base=frozenset({'22917'}), items_add=frozenset({'22916'}), confidence=0.9267015706806284, lift=109.96528263851948)]"
"frozenset({'22918', '22916'})",0.007751239,"[OrderedStatistic(items_base=frozenset({'22916'}), items_add=frozenset({'22918'}), confidence=0.9197860962566844, lift=108.5641142337012), OrderedStatistic(items_base=frozenset({'22918'}), items_add=frozenset({'22916'}), confidence=0.9148936170212765, lift=108.56411423370119)]"
